key,regex
efppop,"^(Ptp(Affx)?\.\d{1,6}\.\d{1,6}\.(A1|A2|S1|S2)_(x_at|s_at|at|a_at))$|^((eugene3)\.\d{6,12})$|^((estExt_)(Genewise|fgenesh)(1|4)\_(v1|kg|pg|pm)(\.|\_v1\.)C_LG_\w{6,10})$|^((grail3\.)\d{8,12})$|^((fgenesh)(1|4)\_(kg|pg|pm)\.C\_(scaffold|LG)\_\w{7,12})$|^((gw1)\.\w{1,6}\.\w{1,4}\.1)$|^((POPTR)\_[0-9]{4}s[0-9]{5}\.*[1-5]{0,1})$|^(Potri\.[0-9]{3}G[0-9]{6}(\.[0-9]{1})?)$"
efprice,"^(LOC_Os[0-9]{2}g[0-9]{5})$|^((AFFX|AFFX-Os)(-|_)(Ubiquitin|Actin|Cyph|Gapdh|BioB|BioC|BioDn|CreX|DapX|LysX|PheX|ThrX|TrpnX|ef1a|gapdh)(-|_)(3|5|M)_(at|x_at|s_at))$|^(AFFX-OS-(18SrRNA|25SrRNA|5\.8SrRNA)_(s_at|at))$|^((AFFX-Mgr-(actin|ef1a|gapdh)-(3|5|M))_(at|x_at|s_at))$|^(AFFX-r2-Tag(A|B|C|D|E|F|G|H)_at)$|^(AFFX-r2-Tag(IN|I|J|O|Q)-(3|5|M)_at)$|^((AFFX|AFFX-Os)-r2-(Bs|Ec|P1)-(dap|lys|phe|thr|bioB|bioC|bioD|cre)-(3|5|M)(_|_x_|_s_)at)$|^((Os|OsAffx)\.[0-9]{1,5}\.[0-9]{1}\.(S1|A1|S2)_(at|x_at|s_at|a_at))$"
efpsoybean,"^((Glyma\d{1,3}g\d{1,6}\.?\d?)$|^(Glyma\.\d{1,3}g\d{1,8}))$"
maizeefp,"^(AC[0-9]{6}\.[0-9]{1}_FG[0-9]{3})$|^(AC[0-9]{6}\.[0-9]{1}_FGT[0-9]{3})$|^(GRMZM(2|5)G[0-9]{6})$|^(GRMZM(2|5)G[0-9]{6}_T[0-9]{2})$|^(Zm\d+d\d+)$|^(Zm\d{1,10}eb\d{1,10})$|^(Zm\d{6}(_[xsa])?_at)$"
mouse_efp,"^(XM_\d{0,8}\.\d{0,3})$|^(\d{1,10}\D\d{0,4}\D{0,4})$|^(\D{1,8}\d{0,8}\D{0,8})$|^(ENSMUSG\d{1,15})$|^(NM_\d{0,12}\d.\d{0,3})$"
actinidia,^Acc\d{5}\.\d+$
apple,^MfusH1_\d{2}g\d{5}$
arabidopsgene_valid,^At[12345cm]g\d{5}.?\d?$
arachgene_valid,"^Adur\d{1,10}_comp\d{1,3}_\D{1,3}\d{1,3}_seq\d{1,5}$"
barley,^HORVU(\d+Hr\d+G\d+|\.MOREX\.r\d+\.(\dH|Un)G\d+(\.\d+)?)$
brachypodium,^Bradi\d+g\d+\.\d+$
brassica_rapa,"^(BraA.{1,4}g\d{1,9}|[A-Z]\d{2}[gp]\d+\.\d+_BraROA)$"
cacao,^((CCN-51|SCA-6)_Chr\d+v\d+_\d+|Tc\d+v\d+_g\d+)$
camelina,^Csa\d+[gs]\d+(\.\d+)?$
cannabgene_valid,"^AGQN\d{0,10}$"
canola,"^(Bna[AC]\d{2}g\d{5}[A-D]?|Bo[A-Z]+_?\d+g\d+\.\d+V\d+|Br(Chr\d{1,2}|BA_\d+)g\d{5}\.\d{2}V\d|Contig\d+)$"
cassava,^Manes\.\d{2}G\d+\.v\d+\.\d+$
cuscuta,^Cc\d+(\.t\d+)?$
eucalyptus,^Eucgr\.[A-Z]\d+$
euphorbia,^Ep_chr\d+_g\d+$
grape,"^(CHR(\d+|UN)_[A-Z]+\d+(_\d+)?_T\d+|VIT_\d{0,3}\D\d{0,5}g\d{0,6})$"
human,"^\d{1,10}$|^[A-Z][A-Z0-9]{1,9}(-\d{1,3})?$|^[A-Z]{2,4}\d{0,3}-\d{2,4}[A-Z]\d{1,3}\.\d{1,3}$|^A[CL]\d{6}\.\d{1,3}$"
kalanchoe,"^Kaladp\d{1,10}s\d{1,10}$"
little_millet,^TRINITY_DN\d+_c\d+_g\d+_i\d+$
lupin,^Luan_Oskar_(PB\d+|Trin)_\d+$
maize,^(AC[0-9]{6}\.[0-9]+_FGT?[0-9]{3}|GRMZM[25]G[0-9]{6}(_T[0-9]{2})?|Zm\d+(d|eb)\d+)$
mangosteen,^DN\d+$
marchantia,"^Mp\w{1,3}g\d+\.\d+$"
medicago,^(Medtr(\d+[gs]\d+|_v1_\d+)|MtrunA17Chr\dg\d+)$
mouse,^XM_\d+\.\d+$
oat,^AV[A-Z]{3}\.\d{5}[a-z]\.r\d+\.\d[A-Z]{2}\d{8}$
phelipanche,"^OrAeBC5_\d{1,6}\.\d{1,3}$"
physcomitrella,"^Pp1s\d{1,8}_\d{1,8}V6\.\d{1,3}$"
poplar,"^POTRI\.(\d{3}G\d{6}\.?\d{0,3}|T\d{6})$"
potato,^(PGSC0003DMG\d+|EPlSTUG\d+)$
quinoa,^CquiG\d+$
rice,"^LOC_Os\d{2}g\d{5}\.\d{1,2}$|^LOC_Os\d{2}g\d{5}$|^Os\d{2}g\d+$"
selaginella,"^Smo\d{1,8}$"
sorghum,^(Sobic\.\d+G\d+(\.\d+)?|Sobic\.K\d+|SORBI_\d+G\d+|ENSRNA\d+)$
soybean,"^((Glyma\d{1,3}g\d{1,6}\.?\d?)|(Glyma\.\d{1,3}g\d{1,8}))$"
spruce,"^(GQ|WS)\d{4,5}_[A-Z]\d{2}\.\d+$"
strawberry,"^FvH4_\d{1,3}g\d{1,8}$"
striga,"^StHeBC3_\d{1,6}\.\d{1,5}$"
sugarcane,^(Sh\d+_g\d+|Sh_[A-Z0-9]+(_contig-\d+)?_g\d+)$
sunflower,^Ha\d+_\d+$
thellungiella,^Thhalv\d+m\.g$|^nXLOC_\d+$
tomato,^Solyc\d\dg\d{6}\.\d\.\d$|^Solyc\d\dg\d{6}(\.\d+)?$
triphysaria,"^TrVeBC3_\d{1,6}\.\d{1,3}$"
tung_tree,^Vf\d+G\d+$
wheat,^(TraesCS[0-9A-Z]+(\.\d+)?|TrturSVE[0-9A-Z]+G\d+)$
willow,^comp\d+_c\d+_seq\d+$
